STE_NAME16	CountryOfBirth	EmploymentStatus	workers
New South Wales		Contributing family workers	3604
New South Wales		Employee	208013
New South Wales		Owner managers of incorporated enterprises	16139
New South Wales		Owner managers of unincorporated enterprises	20177
New South Wales		Status in employment not stated	4863
New South Wales	AUS	Contributing family workers	33810
New South Wales	AUS	Employee	1835158
New South Wales	AUS	Owner managers of incorporated enterprises	146628
New South Wales	AUS	Owner managers of unincorporated enterprises	176890
New South Wales	AUS	Status in employment not stated	21498
New South Wales	CAN	Contributing family workers	113
New South Wales	CAN	Employee	7345
New South Wales	CAN	Owner managers of incorporated enterprises	695
New South Wales	CAN	Owner managers of unincorporated enterprises	639
New South Wales	CAN	Status in employment not stated	38
New South Wales	CHN	Contributing family workers	2757
New South Wales	CHN	Employee	84057
New South Wales	CHN	Owner managers of incorporated enterprises	12087
New South Wales	CHN	Owner managers of unincorporated enterprises	9477
New South Wales	CHN	Status in employment not stated	709
New South Wales	HRV	Contributing family workers	69
New South Wales	HRV	Employee	4325
New South Wales	HRV	Owner managers of incorporated enterprises	542
New South Wales	HRV	Owner managers of unincorporated enterprises	495
New South Wales	HRV	Status in employment not stated	76
New South Wales	EGY	Contributing family workers	112
New South Wales	EGY	Employee	6043
New South Wales	EGY	Owner managers of incorporated enterprises	1211
New South Wales	EGY	Owner managers of unincorporated enterprises	814
New South Wales	EGY	Status in employment not stated	114
New South Wales	FJI	Contributing family workers	200
New South Wales	FJI	Employee	19145
New South Wales	FJI	Owner managers of incorporated enterprises	1070
New South Wales	FJI	Owner managers of unincorporated enterprises	769
New South Wales	FJI	Status in employment not stated	254
New South Wales	MKD	Contributing family workers	85
New South Wales	MKD	Employee	5864
New South Wales	MKD	Owner managers of incorporated enterprises	616
New South Wales	MKD	Owner managers of unincorporated enterprises	448
New South Wales	MKD	Status in employment not stated	83
New South Wales	DEU	Contributing family workers	263
New South Wales	DEU	Employee	9495
New South Wales	DEU	Owner managers of incorporated enterprises	1028
New South Wales	DEU	Owner managers of unincorporated enterprises	1324
New South Wales	DEU	Status in employment not stated	95
New South Wales	GRC	Contributing family workers	167
New South Wales	GRC	Employee	4502
New South Wales	GRC	Owner managers of incorporated enterprises	846
New South Wales	GRC	Owner managers of unincorporated enterprises	960
New South Wales	GRC	Status in employment not stated	128
New South Wales	HKG	Contributing family workers	239
New South Wales	HKG	Employee	21051
New South Wales	HKG	Owner managers of incorporated enterprises	1770
New South Wales	HKG	Owner managers of unincorporated enterprises	1742
New South Wales	HKG	Status in employment not stated	119
New South Wales	IND	Contributing family workers	759
New South Wales	IND	Employee	83079
New South Wales	IND	Owner managers of incorporated enterprises	5289
New South Wales	IND	Owner managers of unincorporated enterprises	3654
New South Wales	IND	Status in employment not stated	620
New South Wales	IDN	Contributing family workers	163
New South Wales	IDN	Employee	17692
New South Wales	IDN	Owner managers of incorporated enterprises	770
New South Wales	IDN	Owner managers of unincorporated enterprises	974
New South Wales	IDN	Status in employment not stated	143
New South Wales	IRN	Contributing family workers	149
New South Wales	IRN	Employee	8983
New South Wales	IRN	Owner managers of incorporated enterprises	1113
New South Wales	IRN	Owner managers of unincorporated enterprises	1032
New South Wales	IRN	Status in employment not stated	114
New South Wales	IRQ	Contributing family workers	122
New South Wales	IRQ	Employee	8161
New South Wales	IRQ	Owner managers of incorporated enterprises	1366
New South Wales	IRQ	Owner managers of unincorporated enterprises	1271
New South Wales	IRQ	Status in employment not stated	187
New South Wales	IRL	Contributing family workers	98
New South Wales	IRL	Employee	13734
New South Wales	IRL	Owner managers of incorporated enterprises	1545
New South Wales	IRL	Owner managers of unincorporated enterprises	978
New South Wales	IRL	Status in employment not stated	129
New South Wales	ITA	Contributing family workers	453
New South Wales	ITA	Employee	11336
New South Wales	ITA	Owner managers of incorporated enterprises	1900
New South Wales	ITA	Owner managers of unincorporated enterprises	1765
New South Wales	ITA	Status in employment not stated	233
New South Wales	JPN	Contributing family workers	108
New South Wales	JPN	Employee	6574
New South Wales	JPN	Owner managers of incorporated enterprises	500
New South Wales	JPN	Owner managers of unincorporated enterprises	667
New South Wales	JPN	Status in employment not stated	65
New South Wales	LBN	Contributing family workers	512
New South Wales	LBN	Employee	13450
New South Wales	LBN	Owner managers of incorporated enterprises	3894
New South Wales	LBN	Owner managers of unincorporated enterprises	3867
New South Wales	LBN	Status in employment not stated	468
New South Wales	MYS	Contributing family workers	181
New South Wales	MYS	Employee	16004
New South Wales	MYS	Owner managers of incorporated enterprises	1386
New South Wales	MYS	Owner managers of unincorporated enterprises	1218
New South Wales	MYS	Status in employment not stated	113
New South Wales	MLT	Contributing family workers	119
New South Wales	MLT	Employee	2639
New South Wales	MLT	Owner managers of incorporated enterprises	356
New South Wales	MLT	Owner managers of unincorporated enterprises	470
New South Wales	MLT	Status in employment not stated	85
New South Wales	NLD	Contributing family workers	170
New South Wales	NLD	Employee	4459
New South Wales	NLD	Owner managers of incorporated enterprises	591
New South Wales	NLD	Owner managers of unincorporated enterprises	726
New South Wales	NLD	Status in employment not stated	66
New South Wales	NZL	Contributing family workers	786
New South Wales	NZL	Employee	61795
New South Wales	NZL	Owner managers of incorporated enterprises	5023
New South Wales	NZL	Owner managers of unincorporated enterprises	5327
New South Wales	NZL	Status in employment not stated	746
New South Wales	PAK	Contributing family workers	112
New South Wales	PAK	Employee	9719
New South Wales	PAK	Owner managers of incorporated enterprises	908
New South Wales	PAK	Owner managers of unincorporated enterprises	1297
New South Wales	PAK	Status in employment not stated	178
New South Wales	PHL	Contributing family workers	291
New South Wales	PHL	Employee	53615
New South Wales	PHL	Owner managers of incorporated enterprises	1006
New South Wales	PHL	Owner managers of unincorporated enterprises	1340
New South Wales	PHL	Status in employment not stated	415
New South Wales	POL	Contributing family workers	99
New South Wales	POL	Employee	5456
New South Wales	POL	Owner managers of incorporated enterprises	598
New South Wales	POL	Owner managers of unincorporated enterprises	819
New South Wales	POL	Status in employment not stated	63
New South Wales	SGP	Contributing family workers	66
New South Wales	SGP	Employee	5619
New South Wales	SGP	Owner managers of incorporated enterprises	448
New South Wales	SGP	Owner managers of unincorporated enterprises	439
New South Wales	SGP	Status in employment not stated	41
New South Wales	ZAF	Contributing family workers	318
New South Wales	ZAF	Employee	23044
New South Wales	ZAF	Owner managers of incorporated enterprises	3195
New South Wales	ZAF	Owner managers of unincorporated enterprises	2431
New South Wales	ZAF	Status in employment not stated	181
New South Wales	KOR	Contributing family workers	728
New South Wales	KOR	Employee	20262
New South Wales	KOR	Owner managers of incorporated enterprises	3452
New South Wales	KOR	Owner managers of unincorporated enterprises	3449
New South Wales	KOR	Status in employment not stated	262
New South Wales	LKA	Contributing family workers	134
New South Wales	LKA	Employee	15538
New South Wales	LKA	Owner managers of incorporated enterprises	957
New South Wales	LKA	Owner managers of unincorporated enterprises	763
New South Wales	LKA	Status in employment not stated	134
New South Wales	THA	Contributing family workers	267
New South Wales	THA	Employee	14780
New South Wales	THA	Owner managers of incorporated enterprises	673
New South Wales	THA	Owner managers of unincorporated enterprises	997
New South Wales	THA	Status in employment not stated	213
New South Wales	TUR	Contributing family workers	136
New South Wales	TUR	Employee	4091
New South Wales	TUR	Owner managers of incorporated enterprises	664
New South Wales	TUR	Owner managers of unincorporated enterprises	776
New South Wales	TUR	Status in employment not stated	93
New South Wales	GBR	Contributing family workers	1957
New South Wales	GBR	Employee	114487
New South Wales	GBR	Owner managers of incorporated enterprises	12008
New South Wales	GBR	Owner managers of unincorporated enterprises	12591
New South Wales	GBR	Status in employment not stated	1045
New South Wales	USA	Contributing family workers	223
New South Wales	USA	Employee	14081
New South Wales	USA	Owner managers of incorporated enterprises	1084
New South Wales	USA	Owner managers of unincorporated enterprises	1366
New South Wales	USA	Status in employment not stated	113
New South Wales	VNM	Contributing family workers	875
New South Wales	VNM	Employee	34768
New South Wales	VNM	Owner managers of incorporated enterprises	3311
New South Wales	VNM	Owner managers of unincorporated enterprises	4059
New South Wales	VNM	Status in employment not stated	511
New South Wales	ZWE	Contributing family workers	34
New South Wales	ZWE	Employee	4131
New South Wales	ZWE	Owner managers of incorporated enterprises	260
New South Wales	ZWE	Owner managers of unincorporated enterprises	236
New South Wales	ZWE	Status in employment not stated	26
Victoria		Contributing family workers	2930
Victoria		Employee	149340
Victoria		Owner managers of incorporated enterprises	12842
Victoria		Owner managers of unincorporated enterprises	14895
Victoria		Status in employment not stated	4174
Victoria	AUS	Contributing family workers	27412
Victoria	AUS	Employee	1533563
Victoria	AUS	Owner managers of incorporated enterprises	130825
Victoria	AUS	Owner managers of unincorporated enterprises	140536
Victoria	AUS	Status in employment not stated	17739
Victoria	CAN	Contributing family workers	59
Victoria	CAN	Employee	5154
Victoria	CAN	Owner managers of incorporated enterprises	372
Victoria	CAN	Owner managers of unincorporated enterprises	417
Victoria	CAN	Status in employment not stated	37
Victoria	CHN	Contributing family workers	3239
Victoria	CHN	Employee	49167
Victoria	CHN	Owner managers of incorporated enterprises	8926
Victoria	CHN	Owner managers of unincorporated enterprises	5573
Victoria	CHN	Status in employment not stated	418
Victoria	HRV	Contributing family workers	101
Victoria	HRV	Employee	4264
Victoria	HRV	Owner managers of incorporated enterprises	596
Victoria	HRV	Owner managers of unincorporated enterprises	538
Victoria	HRV	Status in employment not stated	82
Victoria	EGY	Contributing family workers	86
Victoria	EGY	Employee	3800
Victoria	EGY	Owner managers of incorporated enterprises	701
Victoria	EGY	Owner managers of unincorporated enterprises	496
Victoria	EGY	Status in employment not stated	55
Victoria	FJI	Contributing family workers	81
Victoria	FJI	Employee	6139
Victoria	FJI	Owner managers of incorporated enterprises	334
Victoria	FJI	Owner managers of unincorporated enterprises	266
Victoria	FJI	Status in employment not stated	72
Victoria	MKD	Contributing family workers	109
Victoria	MKD	Employee	5950
Victoria	MKD	Owner managers of incorporated enterprises	700
Victoria	MKD	Owner managers of unincorporated enterprises	474
Victoria	MKD	Status in employment not stated	131
Victoria	DEU	Contributing family workers	216
Victoria	DEU	Employee	7757
Victoria	DEU	Owner managers of incorporated enterprises	897
Victoria	DEU	Owner managers of unincorporated enterprises	1031
Victoria	DEU	Status in employment not stated	126
Victoria	GRC	Contributing family workers	268
Victoria	GRC	Employee	7516
Victoria	GRC	Owner managers of incorporated enterprises	1378
Victoria	GRC	Owner managers of unincorporated enterprises	1282
Victoria	GRC	Status in employment not stated	187
Victoria	HKG	Contributing family workers	153
Victoria	HKG	Employee	10512
Victoria	HKG	Owner managers of incorporated enterprises	857
Victoria	HKG	Owner managers of unincorporated enterprises	791
Victoria	HKG	Status in employment not stated	49
Victoria	IND	Contributing family workers	981
Victoria	IND	Employee	97373
Victoria	IND	Owner managers of incorporated enterprises	6420
Victoria	IND	Owner managers of unincorporated enterprises	4621
Victoria	IND	Status in employment not stated	1007
Victoria	IDN	Contributing family workers	131
Victoria	IDN	Employee	8543
Victoria	IDN	Owner managers of incorporated enterprises	450
Victoria	IDN	Owner managers of unincorporated enterprises	457
Victoria	IDN	Status in employment not stated	68
Victoria	IRN	Contributing family workers	114
Victoria	IRN	Employee	5605
Victoria	IRN	Owner managers of incorporated enterprises	589
Victoria	IRN	Owner managers of unincorporated enterprises	630
Victoria	IRN	Status in employment not stated	84
Victoria	IRQ	Contributing family workers	108
Victoria	IRQ	Employee	3646
Victoria	IRQ	Owner managers of incorporated enterprises	575
Victoria	IRQ	Owner managers of unincorporated enterprises	722
Victoria	IRQ	Status in employment not stated	91
Victoria	IRL	Contributing family workers	77
Victoria	IRL	Employee	8560
Victoria	IRL	Owner managers of incorporated enterprises	643
Victoria	IRL	Owner managers of unincorporated enterprises	554
Victoria	IRL	Status in employment not stated	73
Victoria	ITA	Contributing family workers	653
Victoria	ITA	Employee	13126
Victoria	ITA	Owner managers of incorporated enterprises	2441
Victoria	ITA	Owner managers of unincorporated enterprises	2048
Victoria	ITA	Status in employment not stated	385
Victoria	JPN	Contributing family workers	52
Victoria	JPN	Employee	3901
Victoria	JPN	Owner managers of incorporated enterprises	240
Victoria	JPN	Owner managers of unincorporated enterprises	345
Victoria	JPN	Status in employment not stated	39
Victoria	LBN	Contributing family workers	190
Victoria	LBN	Employee	3697
Victoria	LBN	Owner managers of incorporated enterprises	1010
Victoria	LBN	Owner managers of unincorporated enterprises	1298
Victoria	LBN	Status in employment not stated	152
Victoria	MYS	Contributing family workers	321
Victoria	MYS	Employee	24000
Victoria	MYS	Owner managers of incorporated enterprises	1920
Victoria	MYS	Owner managers of unincorporated enterprises	1531
Victoria	MYS	Status in employment not stated	160
Victoria	MLT	Contributing family workers	82
Victoria	MLT	Employee	3543
Victoria	MLT	Owner managers of incorporated enterprises	422
Victoria	MLT	Owner managers of unincorporated enterprises	415
Victoria	MLT	Status in employment not stated	77
Victoria	NLD	Contributing family workers	193
Victoria	NLD	Employee	4518
Victoria	NLD	Owner managers of incorporated enterprises	727
Victoria	NLD	Owner managers of unincorporated enterprises	839
Victoria	NLD	Status in employment not stated	102
Victoria	NZL	Contributing family workers	546
Victoria	NZL	Employee	50924
Victoria	NZL	Owner managers of incorporated enterprises	3190
Victoria	NZL	Owner managers of unincorporated enterprises	3735
Victoria	NZL	Status in employment not stated	565
Victoria	PAK	Contributing family workers	83
Victoria	PAK	Employee	8660
Victoria	PAK	Owner managers of incorporated enterprises	643
Victoria	PAK	Owner managers of unincorporated enterprises	950
Victoria	PAK	Status in employment not stated	116
Victoria	PHL	Contributing family workers	190
Victoria	PHL	Employee	30859
Victoria	PHL	Owner managers of incorporated enterprises	495
Victoria	PHL	Owner managers of unincorporated enterprises	673
Victoria	PHL	Status in employment not stated	263
Victoria	POL	Contributing family workers	123
Victoria	POL	Employee	5080
Victoria	POL	Owner managers of incorporated enterprises	662
Victoria	POL	Owner managers of unincorporated enterprises	819
Victoria	POL	Status in employment not stated	74
Victoria	SGP	Contributing family workers	72
Victoria	SGP	Employee	6875
Victoria	SGP	Owner managers of incorporated enterprises	474
Victoria	SGP	Owner managers of unincorporated enterprises	469
Victoria	SGP	Status in employment not stated	30
Victoria	ZAF	Contributing family workers	190
Victoria	ZAF	Employee	15053
Victoria	ZAF	Owner managers of incorporated enterprises	1489
Victoria	ZAF	Owner managers of unincorporated enterprises	1275
Victoria	ZAF	Status in employment not stated	91
Victoria	KOR	Contributing family workers	173
Victoria	KOR	Employee	6441
Victoria	KOR	Owner managers of incorporated enterprises	595
Victoria	KOR	Owner managers of unincorporated enterprises	638
Victoria	KOR	Status in employment not stated	78
Victoria	LKA	Contributing family workers	347
Victoria	LKA	Employee	30095
Victoria	LKA	Owner managers of incorporated enterprises	1858
Victoria	LKA	Owner managers of unincorporated enterprises	1744
Victoria	LKA	Status in employment not stated	308
Victoria	THA	Contributing family workers	138
Victoria	THA	Employee	6675
Victoria	THA	Owner managers of incorporated enterprises	409
Victoria	THA	Owner managers of unincorporated enterprises	597
Victoria	THA	Status in employment not stated	87
Victoria	TUR	Contributing family workers	180
Victoria	TUR	Employee	4343
Victoria	TUR	Owner managers of incorporated enterprises	899
Victoria	TUR	Owner managers of unincorporated enterprises	793
Victoria	TUR	Status in employment not stated	119
Victoria	GBR	Contributing family workers	1375
Victoria	GBR	Employee	87675
Victoria	GBR	Owner managers of incorporated enterprises	7960
Victoria	GBR	Owner managers of unincorporated enterprises	8841
Victoria	GBR	Status in employment not stated	816
Victoria	USA	Contributing family workers	149
Victoria	USA	Employee	9167
Victoria	USA	Owner managers of incorporated enterprises	748
Victoria	USA	Owner managers of unincorporated enterprises	828
Victoria	USA	Status in employment not stated	74
Victoria	VNM	Contributing family workers	828
Victoria	VNM	Employee	34339
Victoria	VNM	Owner managers of incorporated enterprises	2869
Victoria	VNM	Owner managers of unincorporated enterprises	3367
Victoria	VNM	Status in employment not stated	514
Victoria	ZWE	Contributing family workers	35
Victoria	ZWE	Employee	3064
Victoria	ZWE	Owner managers of incorporated enterprises	155
Victoria	ZWE	Owner managers of unincorporated enterprises	142
Victoria	ZWE	Status in employment not stated	32
Queensland		Contributing family workers	2171
Queensland		Employee	92552
Queensland		Owner managers of incorporated enterprises	7236
Queensland		Owner managers of unincorporated enterprises	9287
Queensland		Status in employment not stated	2238
Queensland	AUS	Contributing family workers	27225
Queensland	AUS	Employee	1300323
Queensland	AUS	Owner managers of incorporated enterprises	99414
Queensland	AUS	Owner managers of unincorporated enterprises	117294
Queensland	AUS	Status in employment not stated	13154
Queensland	CAN	Contributing family workers	88
Queensland	CAN	Employee	5524
Queensland	CAN	Owner managers of incorporated enterprises	450
Queensland	CAN	Owner managers of unincorporated enterprises	555
Queensland	CAN	Status in employment not stated	31
Queensland	CHN	Contributing family workers	831
Queensland	CHN	Employee	15416
Queensland	CHN	Owner managers of incorporated enterprises	2573
Queensland	CHN	Owner managers of unincorporated enterprises	1580
Queensland	CHN	Status in employment not stated	106
Queensland	HRV	Contributing family workers	43
Queensland	HRV	Employee	1005
Queensland	HRV	Owner managers of incorporated enterprises	155
Queensland	HRV	Owner managers of unincorporated enterprises	173
Queensland	HRV	Status in employment not stated	23
Queensland	EGY	Contributing family workers	20
Queensland	EGY	Employee	614
Queensland	EGY	Owner managers of incorporated enterprises	138
Queensland	EGY	Owner managers of unincorporated enterprises	85
Queensland	EGY	Status in employment not stated	10
Queensland	FJI	Contributing family workers	123
Queensland	FJI	Employee	6616
Queensland	FJI	Owner managers of incorporated enterprises	554
Queensland	FJI	Owner managers of unincorporated enterprises	427
Queensland	FJI	Status in employment not stated	71
Queensland	MKD	Contributing family workers	9
Queensland	MKD	Employee	418
Queensland	MKD	Owner managers of incorporated enterprises	36
Queensland	MKD	Owner managers of unincorporated enterprises	44
Queensland	MKD	Status in employment not stated	9
Queensland	DEU	Contributing family workers	193
Queensland	DEU	Employee	6488
Queensland	DEU	Owner managers of incorporated enterprises	695
Queensland	DEU	Owner managers of unincorporated enterprises	1069
Queensland	DEU	Status in employment not stated	94
Queensland	GRC	Contributing family workers	42
Queensland	GRC	Employee	606
Queensland	GRC	Owner managers of incorporated enterprises	127
Queensland	GRC	Owner managers of unincorporated enterprises	148
Queensland	GRC	Status in employment not stated	16
Queensland	HKG	Contributing family workers	85
Queensland	HKG	Employee	4668
Queensland	HKG	Owner managers of incorporated enterprises	491
Queensland	HKG	Owner managers of unincorporated enterprises	420
Queensland	HKG	Status in employment not stated	25
Queensland	IND	Contributing family workers	395
Queensland	IND	Employee	27139
Queensland	IND	Owner managers of incorporated enterprises	2162
Queensland	IND	Owner managers of unincorporated enterprises	1536
Queensland	IND	Status in employment not stated	336
Queensland	IDN	Contributing family workers	60
Queensland	IDN	Employee	2799
Queensland	IDN	Owner managers of incorporated enterprises	186
Queensland	IDN	Owner managers of unincorporated enterprises	203
Queensland	IDN	Status in employment not stated	37
Queensland	IRN	Contributing family workers	50
Queensland	IRN	Employee	2445
Queensland	IRN	Owner managers of incorporated enterprises	257
Queensland	IRN	Owner managers of unincorporated enterprises	319
Queensland	IRN	Status in employment not stated	27
Queensland	IRQ	Contributing family workers	7
Queensland	IRQ	Employee	496
Queensland	IRQ	Owner managers of incorporated enterprises	79
Queensland	IRQ	Owner managers of unincorporated enterprises	76
Queensland	IRQ	Status in employment not stated	10
Queensland	IRL	Contributing family workers	76
Queensland	IRL	Employee	5744
Queensland	IRL	Owner managers of incorporated enterprises	569
Queensland	IRL	Owner managers of unincorporated enterprises	449
Queensland	IRL	Status in employment not stated	53
Queensland	ITA	Contributing family workers	268
Queensland	ITA	Employee	3029
Queensland	ITA	Owner managers of incorporated enterprises	469
Queensland	ITA	Owner managers of unincorporated enterprises	556
Queensland	ITA	Status in employment not stated	82
Queensland	JPN	Contributing family workers	127
Queensland	JPN	Employee	5709
Queensland	JPN	Owner managers of incorporated enterprises	453
Queensland	JPN	Owner managers of unincorporated enterprises	532
Queensland	JPN	Status in employment not stated	66
Queensland	LBN	Contributing family workers	30
Queensland	LBN	Employee	407
Queensland	LBN	Owner managers of incorporated enterprises	112
Queensland	LBN	Owner managers of unincorporated enterprises	103
Queensland	LBN	Status in employment not stated	6
Queensland	MYS	Contributing family workers	95
Queensland	MYS	Employee	6925
Queensland	MYS	Owner managers of incorporated enterprises	653
Queensland	MYS	Owner managers of unincorporated enterprises	591
Queensland	MYS	Status in employment not stated	46
Queensland	MLT	Contributing family workers	44
Queensland	MLT	Employee	481
Queensland	MLT	Owner managers of incorporated enterprises	66
Queensland	MLT	Owner managers of unincorporated enterprises	109
Queensland	MLT	Status in employment not stated	19
Queensland	NLD	Contributing family workers	109
Queensland	NLD	Employee	3668
Queensland	NLD	Owner managers of incorporated enterprises	514
Queensland	NLD	Owner managers of unincorporated enterprises	614
Queensland	NLD	Status in employment not stated	47
Queensland	NZL	Contributing family workers	1446
Queensland	NZL	Employee	103992
Queensland	NZL	Owner managers of incorporated enterprises	7630
Queensland	NZL	Owner managers of unincorporated enterprises	9202
Queensland	NZL	Status in employment not stated	1209
Queensland	PAK	Contributing family workers	27
Queensland	PAK	Employee	1696
Queensland	PAK	Owner managers of incorporated enterprises	266
Queensland	PAK	Owner managers of unincorporated enterprises	189
Queensland	PAK	Status in employment not stated	23
Queensland	PHL	Contributing family workers	164
Queensland	PHL	Employee	21725
Queensland	PHL	Owner managers of incorporated enterprises	456
Queensland	PHL	Owner managers of unincorporated enterprises	705
Queensland	PHL	Status in employment not stated	210
Queensland	POL	Contributing family workers	27
Queensland	POL	Employee	1975
Queensland	POL	Owner managers of incorporated enterprises	198
Queensland	POL	Owner managers of unincorporated enterprises	281
Queensland	POL	Status in employment not stated	32
Queensland	SGP	Contributing family workers	47
Queensland	SGP	Employee	2854
Queensland	SGP	Owner managers of incorporated enterprises	223
Queensland	SGP	Owner managers of unincorporated enterprises	211
Queensland	SGP	Status in employment not stated	17
Queensland	ZAF	Contributing family workers	357
Queensland	ZAF	Employee	21563
Queensland	ZAF	Owner managers of incorporated enterprises	2233
